case_id,split,segment,segment_label,question,relevant_place_ids,acceptable_place_ids,must_exclude_place_ids,must_exclude_categories,required_accessibility_fields,required_evidence_fields,required_check_before_visit_terms,allow_no_result,review_status,reviewer_ids,adjudicated_by,review_notes
stroller_01,dev,stroller,아이·유모차,유모차를 쓰는 아이와 계단이 적은 제주 코스를 추천해 주세요.,,,,,slope_or_stairs;surface_condition;rest_area,slope_or_stairs;surface_condition;rest_area;parking,경사;바닥;휴식,false,pending_human_review,,,
stroller_02,test,stroller,아이·유모차,아이와 자주 쉬어야 해서 휴식 공간이 확인된 장소를 찾고 있어요.,,,,,slope_or_stairs;surface_condition;rest_area,slope_or_stairs;surface_condition;rest_area;parking,경사;바닥;휴식,false,pending_human_review,,,
stroller_03,dev,stroller,아이·유모차,유모차 바퀴가 작은 편이라 비포장길을 피한 코스를 알려 주세요.,,,,,slope_or_stairs;surface_condition;rest_area,slope_or_stairs;surface_condition;rest_area;parking,경사;바닥;휴식,false,pending_human_review,,,
stroller_04,dev,stroller,아이·유모차,아이 동반 가족이 비 오는 날 갈 수 있는 실내 장소를 추천해 주세요.,,,,,slope_or_stairs;surface_condition;rest_area,slope_or_stairs;surface_condition;rest_area;parking,경사;바닥;휴식,false,pending_human_review,,,
stroller_05,test,stroller,아이·유모차,주차 후 유모차로 짧게 이동할 수 있는 곳을 우선해 주세요.,,,,,slope_or_stairs;surface_condition;rest_area,slope_or_stairs;surface_condition;rest_area;parking,경사;바닥;휴식,false,pending_human_review,,,
stroller_06,dev,stroller,아이·유모차,낮잠 시간이 있어 두 곳 정도만 짧게 둘러보는 코스를 원해요.,,,,,slope_or_stairs;surface_condition;rest_area,slope_or_stairs;surface_condition;rest_area;parking,경사;바닥;휴식,false,pending_human_review,,,
stroller_07,dev,stroller,아이·유모차,유모차 접근과 화장실 정보를 같이 확인할 수 있는 장소가 있나요?,,,,,slope_or_stairs;surface_condition;rest_area,slope_or_stairs;surface_condition;rest_area;parking,경사;바닥;휴식,false,pending_human_review,,,
stroller_08,test,stroller,아이·유모차,강풍이 불 때 아이와 오래 밖에 있지 않는 코스를 추천해 주세요.,,,,,slope_or_stairs;surface_condition;rest_area,slope_or_stairs;surface_condition;rest_area;parking,경사;바닥;휴식,false,pending_human_review,,,
stroller_09,dev,stroller,아이·유모차,계단이나 급경사가 확인되면 제외하고 아이와 갈 곳을 골라 주세요.,,,,,slope_or_stairs;surface_condition;rest_area,slope_or_stairs;surface_condition;rest_area;parking,경사;바닥;휴식,false,pending_human_review,,,
stroller_10,dev,stroller,아이·유모차,유모차 정보가 불확실하면 단정하지 말고 방문 전 확인사항을 알려 주세요.,,,,,slope_or_stairs;surface_condition;rest_area,slope_or_stairs;surface_condition;rest_area;parking,경사;바닥;휴식,false,pending_human_review,,,
recovery_01,test,recovery,체력 저하·회복 여행,수술 후 회복 중이라 오래 걷지 않는 조용한 제주 코스를 추천해 주세요.,,,,,rest_area,rest_area;crowd_level;surface_condition,휴식;혼잡;도보,false,pending_human_review,,,
recovery_02,dev,recovery,체력 저하·회복 여행,체력이 약해서 중간에 앉아 쉴 곳이 많은 장소를 찾고 있어요.,,,,,rest_area,rest_area;crowd_level;surface_condition,휴식;혼잡;도보,false,pending_human_review,,,
recovery_03,dev,recovery,체력 저하·회복 여행,붐비는 시장과 긴 야외 이동을 피한 반나절 코스를 알려 주세요.,,,,,rest_area,rest_area;crowd_level;surface_condition,휴식;혼잡;도보,false,pending_human_review,,,
recovery_04,test,recovery,체력 저하·회복 여행,보호자와 함께 천천히 이동할 수 있는 실내 중심 코스를 추천해 주세요.,,,,,rest_area,rest_area;crowd_level;surface_condition,휴식;혼잡;도보,false,pending_human_review,,,
recovery_05,dev,recovery,체력 저하·회복 여행,한 장소에서 오래 머물 수 있고 휴식 공간이 확인된 곳을 골라 주세요.,,,,,rest_area,rest_area;crowd_level;surface_condition,휴식;혼잡;도보,false,pending_human_review,,,
recovery_06,dev,recovery,체력 저하·회복 여행,식사 장소를 제외하고 조용히 둘러볼 수 있는 두세 곳을 추천해 주세요.,,,,,rest_area,rest_area;crowd_level;surface_condition,휴식;혼잡;도보,false,pending_human_review,,,
recovery_07,test,recovery,체력 저하·회복 여행,더위에 약하고 체력이 낮아 냉방 가능한 장소를 우선해 주세요.,,,,,rest_area,rest_area;crowd_level;surface_condition,휴식;혼잡;도보,false,pending_human_review,,,
recovery_08,dev,recovery,체력 저하·회복 여행,도보 부담이 낮다는 근거가 있는 장소만 추천해 주세요.,,,,,rest_area,rest_area;crowd_level;surface_condition,휴식;혼잡;도보,false,pending_human_review,,,
recovery_09,dev,recovery,체력 저하·회복 여행,혼잡 정보가 불확실하면 방문 전 확인하도록 안내해 주세요.,,,,,rest_area,rest_area;crowd_level;surface_condition,휴식;혼잡;도보,false,pending_human_review,,,
recovery_10,test,recovery,체력 저하·회복 여행,회복 여행에 맞는 장소가 없으면 유명 관광지를 억지로 추천하지 마세요.,,,,,rest_area,rest_area;crowd_level;surface_condition,휴식;혼잡;도보,false,pending_human_review,,,
diet_01,dev,diet,음식·시설 제한,음식 제한이 있어 식당과 시장을 빼고 제주 코스를 추천해 주세요.,,,,restaurant;food_market,rest_area,rest_area;accessible_toilet,식사;운영,false,pending_human_review,,,
diet_02,dev,diet,음식·시설 제한,알레르기가 있어 먹거리 체험 없이 둘러볼 수 있는 장소를 찾고 있어요.,,,,restaurant;food_market,rest_area,rest_area;accessible_toilet,식사;운영,false,pending_human_review,,,
diet_03,test,diet,음식·시설 제한,카페나 맛집 대신 문화시설과 휴식 장소를 우선해 주세요.,,,,restaurant;food_market,rest_area,rest_area;accessible_toilet,식사;운영,false,pending_human_review,,,
diet_04,dev,diet,음식·시설 제한,식사 시간이 짧아 관광지만 두세 곳 묶은 코스를 추천해 주세요.,,,,restaurant;food_market,rest_area,rest_area;accessible_toilet,식사;운영,false,pending_human_review,,,
diet_05,dev,diet,음식·시설 제한,시장처럼 냄새와 혼잡이 큰 장소를 제외한 코스를 알려 주세요.,,,,restaurant;food_market,rest_area,rest_area;accessible_toilet,식사;운영,false,pending_human_review,,,
diet_06,test,diet,음식·시설 제한,음식 섭취가 어려운 동행자와 갈 수 있는 실내 장소를 추천해 주세요.,,,,restaurant;food_market,rest_area,rest_area;accessible_toilet,식사;운영,false,pending_human_review,,,
diet_07,dev,diet,음식·시설 제한,추천 이유에 식당을 제외했다는 점과 휴식 가능 여부를 설명해 주세요.,,,,restaurant;food_market,rest_area,rest_area;accessible_toilet,식사;운영,false,pending_human_review,,,
diet_08,dev,diet,음식·시설 제한,운영 중인 비식음 장소가 없으면 결과가 부족하다고 알려 주세요.,,,,restaurant;food_market,rest_area,rest_area;accessible_toilet,식사;운영,false,pending_human_review,,,
weather_01,test,weather,날씨·야외 활동,비와 강풍을 피할 수 있는 제주 실내 코스를 추천해 주세요.,,,,oreum;sea,rest_area,weather_sensitivity;rest_area;surface_condition,날씨;강풍;바닥,false,pending_human_review,,,
weather_02,dev,weather,날씨·야외 활동,더위에 민감해서 야외 체류가 짧은 장소를 우선해 주세요.,,,,oreum;sea,rest_area,weather_sensitivity;rest_area;surface_condition,날씨;강풍;바닥,false,pending_human_review,,,
weather_03,dev,weather,날씨·야외 활동,비가 오면 미끄러운 길과 해변을 제외한 코스를 알려 주세요.,,,,oreum;sea,rest_area,weather_sensitivity;rest_area;surface_condition,날씨;강풍;바닥,false,pending_human_review,,,
weather_04,test,weather,날씨·야외 활동,강풍 예보가 있어 오름과 바다를 빼고 추천해 주세요.,,,,oreum;sea,rest_area,weather_sensitivity;rest_area;surface_condition,날씨;강풍;바닥,false,pending_human_review,,,
weather_05,dev,weather,날씨·야외 활동,날씨가 바뀌어도 대피하기 쉬운 장소를 찾고 있어요.,,,,oreum;sea,rest_area,weather_sensitivity;rest_area;surface_condition,날씨;강풍;바닥,false,pending_human_review,,,
weather_06,dev,weather,날씨·야외 활동,그늘과 휴식 공간 정보가 확인된 장소를 추천해 주세요.,,,,oreum;sea,rest_area,weather_sensitivity;rest_area;surface_condition,날씨;강풍;바닥,false,pending_human_review,,,
weather_07,test,weather,날씨·야외 활동,날씨 민감도가 높은 장소는 감점했다는 이유를 보여 주세요.,,,,oreum;sea,rest_area,weather_sensitivity;rest_area;surface_condition,날씨;강풍;바닥,false,pending_human_review,,,
weather_08,dev,weather,날씨·야외 활동,실내 장소가 부족하면 야외 장소를 안전하다고 단정하지 마세요.,,,,oreum;sea,rest_area,weather_sensitivity;rest_area;surface_condition,날씨;강풍;바닥,false,pending_human_review,,,
conflict_01,dev,conflict,복수·충돌 조건,바다를 보고 싶지만 휠체어 경사와 강풍은 피해야 해요. 가능한 조건만 설명해 주세요.,,,,,wheelchair_access;rest_area,wheelchair_access;rest_area;slope_or_stairs;weather_sensitivity,우선순위;확인,true,pending_human_review,,,
conflict_02,test,conflict,복수·충돌 조건,오름을 원하지만 계단을 이용할 수 없어요. 맞는 곳이 없으면 없다고 알려 주세요.,,,,,wheelchair_access;rest_area,wheelchair_access;rest_area;slope_or_stairs;weather_sensitivity,우선순위;확인,true,pending_human_review,,,
conflict_03,dev,conflict,복수·충돌 조건,아이와 야외에 가고 싶지만 비가 오고 오래 걸을 수 없어요.,,,,,wheelchair_access;rest_area,wheelchair_access;rest_area;slope_or_stairs;weather_sensitivity,우선순위;확인,true,pending_human_review,,,
conflict_04,dev,conflict,복수·충돌 조건,맛집은 제외하고 싶지만 동행자는 시장을 원해요. 안전 조건을 우선해 주세요.,,,,,wheelchair_access;rest_area,wheelchair_access;rest_area;slope_or_stairs;weather_sensitivity,우선순위;확인,true,pending_human_review,,,
conflict_05,test,conflict,복수·충돌 조건,"휠체어 접근, 실내, 바다 전망을 모두 원합니다. 충족하지 못한 조건도 알려 주세요.",,,,,wheelchair_access;rest_area,wheelchair_access;rest_area;slope_or_stairs;weather_sensitivity,우선순위;확인,true,pending_human_review,,,
conflict_06,dev,conflict,복수·충돌 조건,주차와 화장실이 필수지만 검증된 장소가 없으면 추천을 보류해 주세요.,,,,,wheelchair_access;rest_area,wheelchair_access;rest_area;slope_or_stairs;weather_sensitivity,우선순위;확인,true,pending_human_review,,,
ambiguous_01,dev,ambiguous,오타·모호한 질문,휠체어로 편한데 추천해줘,,,,,,verification_status,조건 확인,true,pending_human_review,,,
ambiguous_02,test,ambiguous,오타·모호한 질문,유모차 가능하고 안힘든 제주곳,,,,,,verification_status,조건 확인,true,pending_human_review,,,
ambiguous_03,dev,ambiguous,오타·모호한 질문,비오고 몸 안좋음 어디감,,,,,,verification_status,조건 확인,true,pending_human_review,,,
ambiguous_04,dev,ambiguous,오타·모호한 질문,접근성 좋은 곳 아무데나 말고 근거 있는 곳,,,,,,verification_status,조건 확인,true,pending_human_review,,,
no_result_01,test,no_result,적합 장소 없음,모든 접근성 항목이 verified이고 24시간 운영하는 해변만 추천해 주세요.,,,,,wheelchair_access;accessible_toilet;parking;rest_area,verification_status;wheelchair_access;accessible_toilet;parking;rest_area,결과 없음;확인 필요,true,pending_human_review,,,
no_result_02,dev,no_result,적합 장소 없음,계단이 전혀 없고 경사도 없으며 모든 시설이 확정된 오름을 찾아 주세요.,,,,,wheelchair_access;accessible_toilet;parking;rest_area,verification_status;wheelchair_access;accessible_toilet;parking;rest_area,결과 없음;확인 필요,true,pending_human_review,,,
no_result_03,dev,no_result,적합 장소 없음,검증되지 않은 정보가 하나도 없는 야간 시장 코스만 알려 주세요.,,,,,wheelchair_access;accessible_toilet;parking;rest_area,verification_status;wheelchair_access;accessible_toilet;parking;rest_area,결과 없음;확인 필요,true,pending_human_review,,,
no_result_04,test,no_result,적합 장소 없음,제 조건을 전부 충족하는 장소가 없으면 빈 결과와 부족한 근거를 알려 주세요.,,,,,wheelchair_access;accessible_toilet;parking;rest_area,verification_status;wheelchair_access;accessible_toilet;parking;rest_area,결과 없음;확인 필요,true,pending_human_review,,,
